Alarm Name,Alarm ID,Severity,Managed Object Type Name,Managed Object Type ID,Managed Object Type Version ID,Alarm Group Name,Alarm Group ID
Normal,0,Warning,OSS,100000,1,OSS,100000
The Disk Usage Is Too High,36,Major,OSS,100000,1,OSS,100000
The database process is abnormal,38,Major,OSS,100000,1,OSS,100000
The Database Usage Is Too High,44,Major,OSS,100000,1,OSS,100000
Memory Usage of Service Is Too High,47,Major,OSS,100000,1,OSS,100000
The swap Usage Is High,54,Critical,OSS,100000,1,OSS,100000
Users Having Not Logged In for an Excessively Long Time,56,Major,OSS,100000,1,OSS,100000
Alarm of the Switchover to the Standby Syslog Server,126,Major,OSS,100000,1,OSS,100000
Alarm of the Failure to Connect the Master and Standby Syslog Servers,127,Major,OSS,100000,1,OSS,100000
Master Remote Authentication Server Connection Failed,128,Critical,OSS,100000,1,OSS,100000
Avalanche alarm,132,Major,OSS,100000,1,OSS,100000
The CPU Usage Is High,151,Major,OSS,100000,1,OSS,100000
The OSS Service Is Terminated Abnormally,152,Major,OSS,100000,1,OSS,100000
The Memory Usage Is Too High,154,Major,OSS,100000,1,OSS,100000
The Number of Current Alarms Reaches the Threshold,157,Major,OSS,100000,1,OSS,100000
Standby Remote Authentication Server Connection Failed,160,Critical,OSS,100000,1,OSS,100000
The Region Administrator Has Reset Another User's Password,161,Warning,OSS,100000,1,OSS,100000
The User Has Been Set as a Region Administrator,162,Warning,OSS,100000,1,OSS,100000
The User in the SMManagers Group Changes a User's Password,298,Warning,OSS,100000,1,OSS,100000
"An OSS User Is Added to the Administrators, SMManagers, or Subdomain Security Administrator Group",299,Warning,OSS,100000,1,OSS,100000
Backup Data Packages Do Not Exist,1067,Minor,OSS,100000,1,OSS,100000
Failed to Download the Software Package,18400,Major,OSS,100000,1,OSS,100000
User Password Is About to Expire,30004,Major,OSS,100000,1,OSS,100000
User Password Has Expired,30005,Critical,OSS,100000,1,OSS,100000
Remote cold backup system data failed to synchronize,51015,Critical,OSS,100000,1,OSS,100000
Remote cold backup system dynamic data failed to recover,51016,Critical,OSS,100000,1,OSS,100000
The certificate is about to expire,51020,Major,OSS,100000,1,OSS,100000
The certificate has expired,51021,Critical,OSS,100000,1,OSS,100000
The certificate update failed,51022,Critical,OSS,100000,1,OSS,100000
NTP service abnormal,51023,Critical,OSS,100000,1,OSS,100000
Documents Overload,51027,Minor,OSS,100000,1,OSS,100000
Server CPU VRD Overtemperature,53061,Critical,OSS,100000,1,OSS,100000
Server Hard Disk Overtemperature,53062,Minor,OSS,100000,1,OSS,100000
Server PSU Air Inlet Overtemperature,53063,Critical,OSS,100000,1,OSS,100000
Server Powered Off,53064,Major,OSS,100000,1,OSS,100000
Server Mainboard Power Supply Failure,53065,Major,OSS,100000,1,OSS,100000
Server Power-On Timed Out,53066,Major,OSS,100000,1,OSS,100000
Server Drive Backplane Power Failure,53067,Major,OSS,100000,1,OSS,100000
Server Hard Disk Link Fault,53068,Major,OSS,100000,1,OSS,100000
Failed Server RAID Array Detected,53069,Major,OSS,100000,1,OSS,100000
Server PCIe Card MCE/AER Fault,53070,Critical,OSS,100000,1,OSS,100000
Server NIC Port Linkdown,53071,Major,OSS,100000,1,OSS,100000
"Server Logical Drive Degraded, Partially Degraded, or Offline",53072,Major,OSS,100000,1,OSS,100000
Server RAID Controller Card MCE/AER Error,53073,Critical,OSS,100000,1,OSS,100000
Remote cold backup system heartbeat abnormal,53081,Critical,OSS,100000,1,OSS,100000
Padlock key backup alarm,65320,Critical,OSS,100000,1,OSS,100000
Certificate Is About to Expire,100003,Minor,OSS,100000,1,OSS,100000
Certificate Has Expired,100005,Major,OSS,100000,1,OSS,100000
Authentication Failures Reach the Maximum,100006,Critical,OSS,100000,1,OSS,100000
Abnormal Alarm Service Health Check,100007,Major,OSS,100000,1,OSS,100000
Low User Trust Score,100012,Major,OSS,100000,1,OSS,100000
Abnormal certificate alarm,100023,Major,OSS,100000,1,OSS,100000
Illegal Request Detected,100450,Minor,OSS,100000,1,OSS,100000
System Connectivity Test Failed,100502,Major,OSS,100000,1,OSS,100000
Deployment Region Connectivity Test Failed,100503,Major,OSS,100000,1,OSS,100000
Failed to configure LVS,100550,Critical,OSS,100000,1,OSS,100000
Interruption of LVS Services,100551,Critical,OSS,100000,1,OSS,100000
Aggregated Alarm,100901,Major,OSS,100000,1,OSS,100000
Abnormal Deployment of the Primary and Secondary Sites,101204,Major,OSS,100000,1,OSS,100000
Product Data Scheduled Backup Failure,101205,Critical,OSS,100000,1,OSS,100000
SSH management channel is faulty,101206,Critical,OSS,100000,1,OSS,100000
Alarm Receiving Failures Due to Device Disconnection,101207,Critical,OSS,100000,1,OSS,100000
Node status is Abnormal,101208,Major,OSS,100000,1,OSS,100000
Switchover Triggered by a Faulty Node,101209,Critical,OSS,100000,1,OSS,100000
The database local copy status is abnormal,101210,Major,OSS,100000,1,OSS,100000
Database instance failover occurred,101211,Major,OSS,100000,1,OSS,100000
Failed to connect ZooKeeper,101212,Major,OSS,100000,1,OSS,100000
Scheduled Backup Failure,101216,Critical,OSS,100000,1,OSS,100000
Product Application Scheduled Backup Failure,101217,Critical,OSS,100000,1,OSS,100000
Database Application Scheduled Backup Failure,101218,Critical,OSS,100000,1,OSS,100000
Server PCIe Card Self-Test Failed,101259,Major,OSS,100000,1,OSS,100000
Server PCIe Plug-in RAID Controller Card Fault,101260,Major,OSS,100000,1,OSS,100000
Server PCIe Card Component Major Fault,101261,Major,OSS,100000,1,OSS,100000
Server PCIe Card Undervoltage,101262,Major,OSS,100000,1,OSS,100000
Server PCIe Card Overvoltage,101263,Major,OSS,100000,1,OSS,100000
Server LOM MCE/AER Error,101264,Critical,OSS,100000,1,OSS,100000
Server System Error,101265,Critical,OSS,100000,1,OSS,100000
Server File System Read-Only,101266,Major,OSS,100000,1,OSS,100000
Server Low Hard Disk Remnant Wearout,101267,Major,OSS,100000,1,OSS,100000
Server Hard Disk Lost,101268,Major,OSS,100000,1,OSS,100000
Server Memory Overtemperature(Critical),101269,Critical,OSS,100000,1,OSS,100000
Server CPU Core Overtemperature,101270,Critical,OSS,100000,1,OSS,100000
Server CPU Overvoltage,101271,Major,OSS,100000,1,OSS,100000
Server Air Exhaust Vent Overtemperature,101272,Critical,OSS,100000,1,OSS,100000
Server PSU Overtemperature,101273,Major,OSS,100000,1,OSS,100000
Model Fault,103300,Major,OSS,100000,1,OSS,100000
Insufficient Node Disk Space,103301,Major,OSS,100000,1,OSS,100000
Inference Service Triggering Flow Control,103312,Critical,OSS,100000,1,OSS,100000
Inference Model Memory Usage Exceeding the Threshold,103315,Critical,OSS,100000,1,OSS,100000
Retraining Model Memory Usage Exceeding the Threshold,103316,Critical,OSS,100000,1,OSS,100000
Inference Model SPU Usage Exceeding the Threshold,103317,Critical,OSS,100000,1,OSS,100000
Notification Server Certificate Is About to Expire,103400,Major,OSS,100000,1,OSS,100000
