STATUS_KATEGORIJA,MATCH_CONFIDENCE,MATCH_METHOD,NAZIV_OBJEKTA,OPCINA,DIREKCIJA,ENTITET,LONGITUDE_DECIMAL,LATITUDE_DECIMAL,TEHNOLOGIJA,NE_STATUS,SITE_ID,PROIZVOĐAČ,TIP_AGREAGTA,SNAGA_KVA,MOTOR,GENERATOR,UPRAVLJACKA_JED,NADZOR,IP_ADRESA,IZVEDBA,KAPACITET_SPREMNIKA,SERIJSKI_BROJ,GODINA_PROIZVODNJE,ZADNJI_SERVIS,PRIORITET,PROSTOR_MONTAZA,TREBA_DOZVOLA,KOMENTAR_PLAN,NAPOMENA_AGG
Postoji (U inventaru),0,NO_MATCH, VAREŠ,VAREŠ,ZENICA,,,,,,,TORPEDO RIJEKA,4S 280 M65-4-MCF,"125,00",TORPEDO 25108 B 558ZA,4S 280 M65-4-MCF,DSE 5200,NE,,STACIONARNI,400.0,379737-132942,1979,,,,,,
Postoji (U inventaru),0,NO_MATCH, ZENICA,ZENICA,ZENICA,,,,,,,GENELEC,DG6000LE-3,"5,00",D400E,A5L,,NE,,MOBILNI,5.0,,2014,,,,,,
Postoji (U inventaru),0,NO_MATCH, ZENICA,ZENICA,ZENICA,,,,,,,GENELEC,DG6000LE-3,"5,00",D400E,A5L,,NE,,MOBILNI,5.0,,2014,,,,,,
Postoji (U inventaru),0,NO_MATCH,A.POLJE DATA CENTAR,SARAJEVO,SARAJEVO,,,,,,,MATISA,DDM1-670AD,"680,00",DOOSAN DP222LB,MECC ALTE ECO40 2L/4,DSE 7410,DA,10.10.1.10,STACIONARNI,1200.0,MM18893,2018.0,,,,,,
Postoji (U inventaru),0,NO_MATCH,ALAGINCI,KOSTAJNICA,BIHAĆ,,,,,,,ULUGUC,UG-PR33,"33,00",PERKINS 1103A-33G (DJ32003),GENSAN GSA 283M/T4,DSE 7420 MKII,DA,10.10.4.69,U IZOL. KUĆIŠTU,500.0,U 506685 D - 11453,2018.0,,,,,,
Postoji (U inventaru),0,NO_MATCH,ALIPAŠINO POLJE,SARAJEVO,SARAJEVO,,,,,,,FG WILSON,P660E5,"670,00",PERKINS 2806A-E18TAG1A,LEROY SOMER LL6114K-G,DSE 7420,DA,,STACIONARNI,16000.0,228699-10/JGXF2004 U172508,2008.0,,,,,,02.2020. izvršena zamjena start baterije
Postoji (U inventaru),0,NO_MATCH,ALIPAŠINO POLJE,SARAJEVO,SARAJEVO,,,,,,,FG WILSON,P1000E1,"1000,00",PERKINS 4008TAG1A,LEROY SOMER L7224N,DSE 7420 MKII,DA,,STACIONARNI,2000.0,,2022.0,,,,,,Dvije aku baterije 12V 145Ah
Postoji (U inventaru),0,NO_MATCH,BABANOVAC,TRAVNIK,TRAVNIK,,,,,,,ACME,ADN43W,"4,50",ACME,SINCRO,,NE,,MOBILNI,5.0,3088144,1998.0,,,,,,
Postoji (U inventaru),0,NO_MATCH,BANOVIĆI,BANOVIĆI,TUZLA,,,,,,,MATISA,P75SS,"72,50",PERKINS 1004-4T (AB35049),STAMFORD UCD224F,TE803,DA,,U IZOL. KUĆIŠTU,450.0,P2001-15-0663,2001.0,,,,,,NADZOR: DIAL-UP
Postoji (U inventaru),0,NO_MATCH,BAŠČARŠIJA,SARAJEVO,SARAJEVO,,,,,,,MATISA,F-250 MAU,"250,00",IVECO 8210 SRI25.01 A550,STAMFORD HCI444C-G,TE 803,DA,,STACIONARNI,400.0,0133014-07/568708,2001.0,,,,,,
Postoji (U inventaru),0,NO_MATCH,BIHAĆ ,BIHAĆ,BIHAĆ,,,,,,,CATERPILLAR,DE18E3,"18,00",CAT C2.2,CAT M1434L4,DSE 4520 MKII,NE,,MOBILNI,55.0,CAT00C22HGBY11868,2021.0,,,,,,
Postoji (U inventaru),0,NO_MATCH,BIHAĆ ,BIHAĆ,BIHAĆ,,,,,,,FG WILSON,P300-5,"300,00",PERKINS 1506A-E88TAG4,FG26A230,DSE 7420 MKII,DA,10.10.4.34,STACIONARNI,2000.0,FGWPSG02LPC501234,2021.0,,,,,,
Postoji (U inventaru),0,NO_MATCH,BLAGAJ,MOSTAR,MOSTAR,,,,,,,FG WILSON,PH 22 E 2,"22,00",PERKINS 404C-22G2,,,NE,,STACIONARNI,3000.0,,2004.0,,,,,,
Postoji (U inventaru),0,NO_MATCH,BLIZNA,ZAVIDOVIĆI,ZENICA,,,,,,,MATISA,PS1-14AD-ATL,"13,30",PERKINS 403C-15 IOPU (HL35100U),STAMFORD BS164D,RGK 60,NE,,STACIONARNI,3000.0,,2010,,,,,,
Postoji (U inventaru),0,NO_MATCH,BOSANSKA POLJANA,TUZLA,TUZLA,,,,,,,MATISA,P-75 SS,"72,50",PERKINS 1004-4T (AB37516),STAMFORD UCD224F,RGK60,NE,,U IZOL. KUĆIŠTU,200.0,2001.49.2065,2001,,,,,,
Postoji (U inventaru),0,NO_MATCH,BOSANSKI PETROVAC,BOSANSKI PETROVAC,BIHAĆ,,,,,,,FG WILSON,XP88E1,"88,00",PERKINS RS51306,Leroy Somer LL 2014L,DSE,DA,,STACIONARNI,420.0,GTS00526,2005.0,,,,,,
Postoji (U inventaru),0,NO_MATCH,BRATILO,KLADANJ,TUZLA,,,,,,,FG WILSON,P33-3,"33,00",PERKINS 1103A-33G1 (DJ32011),MARELLI MJB 160 MB4,DSE 7420,DA,10.10.2.47,U IZOL. KUĆIŠTU,500.0,FGWPEP21VAMU06442,2016.0,,,,,,
Postoji (U inventaru),0,NO_MATCH,BRATUNAC,BRATUNAC,TUZLA,,,,,,,TEKSAN,TJ35BD5L,"35,00",BAUDOUIN 4M06G35/5,LEROY SOMER TAL 042C J 6S/4,DSE 7420 MKII,DA,10.10.2.39,U IZOL. KUĆIŠTU,600.0,DDK3637,2022.0,,,,,,
Postoji (U inventaru),0,NO_MATCH,BREZA,BREZA,ZENICA,,,,,,,MATISA,P40 MAUWIN,"42,50",PERKINS F4063,STAMFORD BS5000,TE 803,NE,,STACIONARNI,450.0,P2001-25-1068,2001,,,,,,
Postoji (U inventaru),0,NO_MATCH,BREZOVAČA,SARAJEVO,SARAJEVO,,,,,,,MATISA,PS1-14AD-ATL,"13,30",PERKINS 403C-15 IOPU (HL35100U),STAMFORD BS164D,RGK 60,NE,,STACIONARNI,3000.0,0241431/019,2008.0,,,,,,
Postoji (U inventaru),0,NO_MATCH,BREZOVAČA,SARAJEVO,SARAJEVO,,,,,,,MATISA,PS1-14AD-ATL,"13,30",PERKINS 403C-15 IOPU (HL35100U),STAMFORD BS164D,RGK 60,NE,,STACIONARNI,3000.0,0241431/010,2008.0,,,,,,
Postoji (U inventaru),0,NO_MATCH,BRKA,BRČKO,TUZLA,,,,,,,MATISA,P42SS,"42,00",PERKINS 4.236 (LD35008),MARELLI M8B 200 SB 4,RGK60,NE,,U IZOL. KUĆIŠTU,,,1994.0,,,,,,REZERVOAR: 100L
Postoji (U inventaru),0,NO_MATCH,BUGOJNO,BUGOJNO,TRAVNIK,,,,,,,FG WILSON,P65E3,"65,00",PERKINS 1103A-33TG2 (DKU133904P) ,LEROY SOMER LL2014H,DSE 7420 MKII,NE,10.10.6.75,STACIONARNI,175.0,FGWPEPP5HATS13004,2007.0,,,,,,
Postoji (U inventaru),0,NO_MATCH,BUKOVIK,SARAJEVO,SARAJEVO,,,,,,,KUNER/TESSARI,IDGS-IVE80/PTT,"80,00",IVECO aifo SI 16.05 A550,ST.33 604 1025-G,DSE 7420,DA,10.41.1.137,STACIONARNI,1000.0,C 073498/07,1997.0,,,,,,"stanje na 16.10.2020. broj sati rada 641,12h , stanje goriva 81%"
Postoji (U inventaru),0,NO_MATCH,BUŽIM 1,BUŽIM,BIHAĆ,,,,,,,ULUGUC,UG-PR22,"22,00",PERKINS 404A-22G1,GENSAN GSA274L/4,DSE 7420 MKII,DA,10.10.4.70,U IZOL. KUĆIŠTU,500.0,U 949168 D - 11531,2018.0,,,,,,
Postoji (U inventaru),0,NO_MATCH,BUŽIM STARI,BUŽIM,BIHAĆ,,,,,,,MATISA,MB-RS2-12000TDSE,"15,60",LOMBARDINI,SINCRO,NE,NE,,MOBILNI,12.0,5771955,2011.0,,,,,,
Postoji (U inventaru),0,NO_MATCH,DIREKCIJA BRČKO TKC,BRČKO,TUZLA,,,,,,,MATISA,BM3 100AD,"100,00",BAUDOUIN 4M11G110/5E2,,DSE 7420,NE,,U IZOL. KUĆIŠTU,400.0,MT 2554,2019.0,,,,,,
Postoji (U inventaru),0,NO_MATCH,DOLAC MALTA,SARAJEVO,SARAJEVO,,,,,,,MATISA,MTU1000AUWIN,"1000,00",MTU 18V2000-M,STAMFORD HC.IG34K1-G,TE 803,DA,,STACIONARNI,16000.0,P212-117/01,2001.0,,,,,,
Postoji (U inventaru),0,NO_MATCH,DOLAC MALTA,SARAJEVO,SARAJEVO,,,,,,,CATERPILLAR,plinski,"280,00",,,,DA,,STACIONARNI,,,1993.0,,,,,,
Postoji (U inventaru),0,NO_MATCH,DOLAC MALTA,SARAJEVO,SARAJEVO,,,,,,,FG WILSON,P900E1,"900,00",PERKINS 4006-23TAG3A (DGDF8551),LEROY SOMER LL7024P,DSE 7410,DA,,STACIONARNI,1600.0,FGWRPES3VDPS05054,2019.0,,,,,,
Postoji (U inventaru),0,NO_MATCH,DOLAC MALTA,SARAJEVO,SARAJEVO,,,,,,,CATERPILLAR,DE18E3,"18,00",CAT C2.2,CAT M1434L4,TCP1000,NE,,MOBILNI,55.0,CAT00C22AGBY11866,2021.0,,,,,,
Postoji (U inventaru),0,NO_MATCH,DOLOVI,OLOVO,ZENICA,,,,,,,TEKSAN,TJ35BD5L,"35,00",BAUDOUIN 4M06G35/5,LEROY SOMER TAL 042C,DSE 7420 MKII,DA,10.10.3.203,U IZOL. KUĆIŠTU,600.0,DD92456,2022,,,,,,
Postoji (U inventaru),0,NO_MATCH,DONJI VAKUF,DONJI VAKUF,TRAVNIK,,,,,,,FG WILSON,P44E3,"44,00",PERKINS 1103A-33TG1 (DKU121468P),LEROY SOMER LL2014B,PWP10,NE,,STACIONARNI,170.0,FGWPEPP5LATS11879,2007.0,,,,,,
Postoji (U inventaru),0,NO_MATCH,FOJNICA,FOJNICA,TRAVNIK,,,,,,,FG WILSON,P30E1,"30,00",PERKINS 1103A-33G1 (DJU114109P),LEROY SOMER LL1014B,DSE 7420 MKII,NE,,STACIONARNI,175.0,FGWPEPP4CETH10743,2007.0,,,,,,
Postoji (U inventaru),0,NO_MATCH,FORTICA,MOSTAR,MOSTAR,,,,,,,FG WILSON,P33-3,"33,00",PERKINS 1103A-33G1,LEROY SOMER LL1014S,DSE 7420,NE,,U IZOL. KUĆIŠTU,250.0,,2015.0,,,,,,
Postoji (U inventaru),0,NO_MATCH,GORNJI VAKUF,GORNJI VAKUF,TRAVNIK,,,,,,,FG WILSON,P30E1,"30,00",PERKINS 1103A-33G1 (DJU151192P),LEROY SOMER LL1014B,PWP10,NE,,STACIONARNI,175.0,FGWPEPP4AETH08381,2007.0,,,,,,
Postoji (U inventaru),0,NO_MATCH,GRADAČAC,GRADAČAC,TUZLA,,,,,,,KUMER,IDGS-IVE80/PTT,"80,00",IVECO 8061 SI 16.05 A550,STAMFORD UC.274C,RGK60,NE,,STACIONARNI,900.0,33602-1021,1996.0,,,,,,
Postoji (U inventaru),0,NO_MATCH,GRAČANICA,GRAČANICA,TUZLA,,,,,,,MATISA,P-75 SS,"72,50",PERKINS 1004-4T (AB35049),STAMFORD UCD224F,TE803,DA,,U IZOL. KUĆIŠTU,450.0,P2001-15-0664,2001.0,,,,,,NADZOR: DIAL-UP
Postoji (U inventaru),0,NO_MATCH,GRDONJ,CENTAR,SARAJEVO,,,,,,,ULUGUC,UG-PR33,"33,00",PERKINS 1103A-33G (DJ32003),GENSAN GSA 283M/T4,DATAKOM D500,DA,10.41.0.247,U IZOL. KUĆIŠTU,500.0,P2018033001,2018.0,,,,,,"stanje na 16.10.2020. broj sati rada 64,6h. stanje goriva 100%"
Postoji (U inventaru),0,NO_MATCH,HADŽIĆA BRDO,GORAŽDE,SARAJEVO,,,,,,,FG WILSON,P33-3,"33,00",PERKINS 1103A-33G (DJ32011),MARELLI MJB160 MB4,DSE 7420 MKII,DA,10.41.24.50,U IZOL. KUĆIŠTU,600.0,FGWPEP21AAMU07043,2020.0,,,,,,Baterija montirana 12.2020.
Postoji (U inventaru),0,NO_MATCH,HAMAMDŽIĆI,TRAVNIK,TRAVNIK,,,,,,,MATISA,PS1-14AD-ATL,"13,30",PERKINS 403C-15 IOPU (HL35100U),STAMFORD BS164D,RGK 60,NE,,STACIONARNI,3000.0,MM8110,2008.0,,,,,,
Postoji (U inventaru),0,NO_MATCH,HOST BIHAĆ  CENTAR ,BIHAĆ,BIHAĆ,,,,,,,MATISA,P130 MAUSP,"136,00",PERKINS 1006-6TAG,MARELLI MJB 250 MA4,TE 804,DA,,STACIONARNI,1000.0,12040,2005.0,,,,,,
Postoji (U inventaru),0,NO_MATCH,HOST TKC BIHAĆ,BIHAĆ,BIHAĆ,,,,,,,GENELEC,GENELEC GLW3-20,"16,00",LOMBARDINI LDW 1003/B1,SINCRO FT2MDR,NE,NE,,MOBILNI,50.0,5707147,2009.0,,,,,,
Postoji (U inventaru),0,NO_MATCH,HOST TKC BIHAĆ,BIHAĆ,BIHAĆ,,,,,,,MATISA,P 130 MAUSP,"136,00",Perkins  1006 6 TAG,STAMFORD UC. I274E1,TE 21447,NE,,STACIONARNI,3000.0,0791173J,2003.0,,,,,,
Postoji (U inventaru),0,NO_MATCH,HOST TKC BIHAĆ,BIHAĆ,BIHAĆ,,,,,,,MATISA,MB-B7000LS1-7,"7,00",LOMBARDINI 3LD 450,SINCRO ET2MCS,,NE,,MOBILNI,5.0,MB2275,2008.0,,,,,,
Postoji (U inventaru),0,NO_MATCH,HOST TKC BIHAĆ,BIHAĆ,BIHAĆ,,,,,,,IVECO-TESARI,IDGS-IVE125,"125,00",IVECO TESSARI 8061 SRI 26.05 A 550,,NE,NE,,U IZOL. KUĆIŠTU,300.0,33601-1015,1996.0,,,,,,
Postoji (U inventaru),0,NO_MATCH,HRASNICA,SARAJEVO,SARAJEVO,,,,,,,KUNER/TESSARI,IDGS-IVE80/PTT,"80,00",IVECO aifo SI 16.05 A550,ST.33 604 1025-G,DA,DA,,STACIONARNI,460.0,,1997.0,,,,,,
