GENSET_ID,DIREKCIJA,NAZIV_OBJEKTA,SNAGA_KVA,PROIZVODJAC,TIP_AGREGATA,UPRAVLJACKA,NADZOR,IP_ADRESA,IZVEDBA,KAP_SPREMNIKA_L,SERIJSKI_BROJ,GODINA_PROIZV,STATUS_INVENTAR,MATCH_CONF,MATCH_METHOD,NE_NE_NAME_AGG,NE_LOKACIJA_AGG,NE_LONGITUDE_DECIMAL_AGG,NE_LATITUDE_DECIMAL_AGG,NE_TEHNOLOGIJA_AGG,NE_STATUS_AGG,PLAN_NAZIV,DIREKCIJA_PLAN,ENTITET,OPCINA,PRIORITET,PROSTOR_MONTAZA,DOZVOLA,STATUS_REALIZACIJE,NE_NE_NAME_PLAN,NE_LOKACIJA_PLAN,NE_LONGITUDE_DECIMAL_PLAN,NE_LATITUDE_DECIMAL_PLAN,NE_TEHNOLOGIJA_PLAN,NE_STATUS_PLAN,COORDS_VALID
100084.0,TUZLA,BRATILO,"33,00",FG WILSON,P33-3,DSE 7420,DA,10.10.2.47,U IZOL. KUĆIŠTU,500.0,FGWPEP21VAMU06442,2016,EXISTING,100,FUZZY,BRATILO,Bratilo - Kladanj,18.72697873,44.21962674,GSM/UMTS/LTE,1.0,,,,,,,,,,,,,,,False
100075.0,TUZLA,SREBRENIK,"80,00",TESSARI,IDGS-IVE80/PTT,RGK60,DA,,U IZOL. KUĆIŠTU,400.0,13601-1017,1996,EXISTING,86,FUZZY,SREBRENIK_BREZIK,Srebrenik Brezik,18.57167685,44.65143197,GSM/LTE,1.0,,,,,,,,,,,,,,,False
100150.0,TUZLA,BOSANSKA POLJANA,"72,50",MATISA,P-75 SS,RGK60,NE,,U IZOL. KUĆIŠTU,200.0,2001.49.2065,2001,EXISTING,84,FUZZY,PTI29_BOSANSKA_POLJANA,Bosanska Poljana,18.57833845,44.51292111,GSM/UMTS/LTE,1.0,,,,,,,,,,,,,,,False
100034.0,TRAVNIK,BABANOVAC,"4,50",ACME,ADN43W,,NE,,MOBILNI,5.0,3088144,1998,EXISTING,82,FUZZY,TRAVNIK_NOVA_BILA,Travnik Nova bila,17.73778669,44.21312488,GSM/LTE,1.0,,,,,,,,,,,,,,,False
100044.0,BIHAĆ,VELIKA GOMILA,"70,00",MATISA,P 70 MAT,RGK 60,DA,,STACIONARNI,10000.0,3712H07A,2003,EXISTING,81,FUZZY,VELIKA_GOMILA,Velika Gomila,16.05315333,44.92178065,GSM/LTE,1.0,,,,,,,,,,,,,,,False
100074.0,TUZLA,KALESIJA,"27,50",MATISA,P27 SS,TE803,DA,,U IZOL. KUĆIŠTU,450.0,107,2002,EXISTING,81,FUZZY,ZATESI_KALESIJA,Zatesi Kalesija,18.79094627,44.44565629,GSM/LTE,1.0,,,,,,,,,,,,,,,False
100025.0,MOSTAR,NOVI TKC,"360,00",ZORDAN-ITALY,3061SRI2505A550,DSE 7320,DA,,STACIONARNI,10000.0,,2010,EXISTING,80,FUZZY,MOSTAR_TKC,Mostar TKC,17.81191087,43.35214666,GSM/UMTS/LTE,1.0,,,,,,,,,,,,,,,False
100027.0,MOSTAR,NOVI TKC,"6,00",HONDA,ECT 7000,,NE,,MOBILNI,5.0,,2011,EXISTING,80,FUZZY,MOSTAR_TKC,Mostar TKC,17.81191087,43.35214666,GSM/UMTS/LTE,1.0,,,,,,,,,,,,,,,False
100028.0,MOSTAR,NOVI TKC,"6,00",HONDA,ECT 7000,,NE,,MOBILNI,5.0,,2011,EXISTING,80,FUZZY,MOSTAR_TKC,Mostar TKC,17.81191087,43.35214666,GSM/UMTS/LTE,1.0,,,,,,,,,,,,,,,False
100109.0,SARAJEVO,GRDONJ,"33,00",ULUGUC,UG-PR33,DATAKOM D500,DA,10.41.0.247,U IZOL. KUĆIŠTU,500.0,P2018033001,2018,EXISTING,80,FUZZY,GRUDE_CENTAR,Grude Centar,17.41427897,43.37275533,GSM/LTE,1.0,,,,,,,,,,,,,,,False
