ID,Nadležnost,Mjesto,Naziv Objekta,Vrsta Objekta,Tip Lokacije,Proizvođač,Tip,Snaga (kVA),Motor,Generator,Transfer panel tip,Upravljačka Jedinica,Nadzor,IP adresa,Izvedba,Kapacitet spremnika (l),Serijski Broj,Godina Proizvodnje,Kapacitet baterije (Ah),Napon (V),Godina baterije,Trajanje garancije do,Zadnji servis,Napomena,Evidentirano,Evidentirao,LONGITUDE_DECIMAL,LATITUDE_DECIMAL,TEHNOLOGIJA,STATUS,SITE_ID,MATCH_CONFIDENCE,MATCH_METHOD
100133,BIHAĆ,BIHAĆ,BIHAĆ ,Na prikolici,,CATERPILLAR,DE18E3,"18,00",CAT C2.2,CAT M1434L4,,DSE 4520 MKII,NE,,MOBILNI,55.0,CAT00C22HGBY11868,2021,100.0,12,2021.0,,,,,,17.7621295,44.24648872,GSM/LTE,1,1490,62,FUZZY_LOW
100137,BIHAĆ,BIHAĆ,BIHAĆ ,Zidani,TKC,FG WILSON,P300-5,"300,00",PERKINS 1506A-E88TAG4,FG26A230,ATI 630,DSE 7420 MKII,DA,10.10.4.34,STACIONARNI,2000.0,FGWPSG02LPC501234,2021,190.0,24,2021.0,,,,,,17.7621295,44.24648872,GSM/LTE,1,1490,62,FUZZY_LOW
100053,BIHAĆ,BIHAĆ,HOST BIHAĆ  CENTAR ,Zidani,HOST,MATISA,P130 MAUSP,"136,00",PERKINS 1006-6TAG,MARELLI MJB 250 MA4,DA,TE 804,DA,,STACIONARNI,1000.0,12040,2005,110.0,12,,,,,,,17.7621295,44.24648872,GSM/LTE,1,1490,62,FUZZY_LOW
100045,BIHAĆ,BIHAĆ,HOST TKC BIHAĆ,Zidani,HOST,GENELEC,GENELEC GLW3-20,"16,00",LOMBARDINI LDW 1003/B1,SINCRO FT2MDR,,NE,NE,,MOBILNI,50.0,5707147,2009,55.0,12,,,,,,,17.7621295,44.24648872,GSM/LTE,1,1490,62,FUZZY_LOW
100050,BIHAĆ,BIHAĆ,HOST TKC BIHAĆ,Zidani,HOST,MATISA,P 130 MAUSP,"136,00",Perkins  1006 6 TAG,STAMFORD UC. I274E1,NE,TE 21447,NE,,STACIONARNI,3000.0,0791173J,2003,55.0,12,,,,,,,17.7621295,44.24648872,GSM/LTE,1,1490,62,FUZZY_LOW
100052,BIHAĆ,BIHAĆ,HOST TKC BIHAĆ,Zidani,TKC,MATISA,MB-B7000LS1-7,"7,00",LOMBARDINI 3LD 450,SINCRO ET2MCS,,,NE,,MOBILNI,5.0,MB2275,2008,55.0,12,,,,,,,17.7621295,44.24648872,GSM/LTE,1,1490,62,FUZZY_LOW
100066,BIHAĆ,BIHAĆ,HOST TKC BIHAĆ,Na prikolici,,IVECO-TESARI,IDGS-IVE125,"125,00",IVECO TESSARI 8061 SRI 26.05 A 550,,NE,NE,NE,,U IZOL. KUĆIŠTU,300.0,33601-1015,1996,200.0,12,,,,,,,17.7621295,44.24648872,GSM/LTE,1,1490,62,FUZZY_LOW
100054,BIHAĆ,BIHAĆ,OZIMICE II,Zidani,FTTE,FG WILSON,P30,"30,00",PERKINS 1103A-33 (DJ51323),LEROY SOMER LL1014S,Energoinvest,DSE 5220,DA,,STACIONARNI,200.0,DJ51323,2010,75.0,12,,,,,,,17.7621295,44.24648872,GSM/LTE,1,1490,62,FUZZY_LOW
100055,BIHAĆ,BOSANSKA KRUPA,US BOSANSKA KRUPA,Na prikolici,,IVECO-TESARI,IVE100,"100,00",IVECO TESSARI ,,NE,NE,NE,,U IZOL. KUĆIŠTU,300.0,,1996,110.0,12,,,,,,,16.17029074,44.88901097,GSM/UMTS/LTE,1,141,100,EXACT
100067,BIHAĆ,BOSANSKA KRUPA,US BOSANSKA KRUPA,Zidani,FTTE,MATISA,DM1 135 AD,"135,00",DEUTZ 13027701,SINCRO SK 225 LM,,RGK60,DA,,STACIONARNI,2000.0,2452,2014,200.0,24,,,,,,,16.17029074,44.88901097,GSM/UMTS/LTE,1,141,100,EXACT
100056,BIHAĆ,BOSANSKI PETROVAC,BOSANSKI PETROVAC,Zidani,FTTE,FG WILSON,XP88E1,"88,00",PERKINS RS51306,Leroy Somer LL 2014L,Energoinvest,DSE,DA,,STACIONARNI,420.0,GTS00526,2005,110.0,12,,,,,,,16.33989792,44.59964337,GSM/LTE,1,69,100,EXACT
100113,BIHAĆ,BUŽIM,BUŽIM 1,Zidani,FTTE,ULUGUC,UG-PR22,"22,00",PERKINS 404A-22G1,GENSAN GSA274L/4,DA,DSE 7420 MKII,DA,10.10.4.70,U IZOL. KUĆIŠTU,500.0,U 949168 D - 11531,2018,75.0,12,,,,,,,16.0318989,45.06752901,GSM/UMTS/LTE,1,139,80,FUZZY_MEDIUM
100057,BIHAĆ,BUŽIM,BUŽIM STARI,Zidani,FTTE,MATISA,MB-RS2-12000TDSE,"15,60",LOMBARDINI,SINCRO,,NE,NE,,MOBILNI,12.0,5771955,2011,55.0,12,,,,,,,16.0318989,45.06752901,GSM/UMTS/LTE,1,139,80,FUZZY_MEDIUM
100070,BIHAĆ,CAZIN,OSTROŽAC,Zidani,FTTE,MATISA,WFM R130 TDE,"7,00",RUGGENINI  RD 210,,NE,NE,NE,,MOBILNI,20.0,01 22734,2000,55.0,12,,,,,,,15.93846044,44.9703595,GSM/UMTS/LTE,1,64,100,EXACT
100065,BIHAĆ,CAZIN,SKOKOVI,Zidani,RRst,MATISA,MB-B7000LSI-7,"7,00",LOMBARDINI 3LD 450,SINCRO ET2MCS,,,NE,,MOBILNI,5.0,2182264,2008,55.0,12,,,,,,,15.93846044,44.9703595,GSM/UMTS/LTE,1,64,100,EXACT
100068,BIHAĆ,CAZIN,US CAZIN,Zidani,FTTE,MATISA,DM1 135 AD,"135,00",DEUTZ 13027701,SINCRO SK 225 LM,,RGK60,DA,,STACIONARNI,2000.0,2451,2014,200.0,24,,,,,,,15.93846044,44.9703595,GSM/UMTS/LTE,1,64,100,EXACT
100043,BIHAĆ,CAZIN,US ĆORALIĆI,Zidani,FTTE,GENELEC,GENELEC GLW3-20,"16,00",LOMBARDINI LDW 1003/B1,SINCRO FT2MDR,,,NE,,MOBILNI,50.0,8112768,2008,55.0,12,,,,,,,15.93846044,44.9703595,GSM/UMTS/LTE,1,64,100,EXACT
100047,BIHAĆ,CAZIN,US KAMENICA,Zidani,FTTE,MATISA,B 700 TDE,"7,00",LOMBARDINI 3LD 450,SINCRO ET2MCS,,,NE,,MOBILNI,5.0,2182264,2005,55.0,12,,,,,,,15.93846044,44.9703595,GSM/UMTS/LTE,1,64,100,EXACT
100046,BIHAĆ,CAZIN,US STIJENA,Zidani,FTTE,MATISA,---,"5,00",PERKINS,SINCRO ET2M-S,NE,NE,NE,,MOBILNI,5.0,,,55.0,12,,,,,,,15.93846044,44.9703595,GSM/UMTS/LTE,1,64,100,EXACT
100044,BIHAĆ,CAZIN,VELIKA GOMILA,Zidani,RRst,MATISA,P 70 MAT,"70,00",PERKINS U984201G,STAMFORD UCD224F,DA,RGK 60,DA,,STACIONARNI,10000.0,3712H07A,2003,100.0,12,,,,,,,15.93846044,44.9703595,GSM/UMTS/LTE,1,64,100,EXACT
100147,BIHAĆ,CAZIN,VISIBABA,Kontejner,RRst,FG WILSON,P33-3,"33,00",PERKINS 1103A-33G (DJ32011),MARELLI MJB160 MB4,SCHNEIDER LC1 D50A P7,DSE 7420 MKII,DA,10.10.4.71,U IZOL. KUĆIŠTU,600.0,FGWPEP21JAMU 07040,2020,95.0,12,2020.0,,,,,,15.93846044,44.9703595,GSM/UMTS/LTE,1,64,100,EXACT
100058,BIHAĆ,DRVAR,ZVIZDAJA,Kontejner,BS,MATISA,PS1-14AD-ATL,"13,30",PERKINS 403C-15 IOPU (HL35100U),STAMFORD BC.I164D1,ATL30,RGK 60,DA,,STACIONARNI,3000.0,U57462P,2010,55.0,12,,,,,,,16.38183111,44.35111577,GSM/UMTS/LTE,1,187,100,EXACT
100059,BIHAĆ,DRVAR,ZVIZDAJA,Kontejner,BS,MATISA,PS1-14AD-ATL,"13,30",PERKINS 403C-15 IOPU (HL35100U),STAMFORD BC.I164D1,ATL30,RGK 60,DA,,STACIONARNI,3000.0,U571462P,2010,55.0,12,,,,,,,16.38183111,44.35111577,GSM/UMTS/LTE,1,187,100,EXACT
100049,BIHAĆ,KLJUČ,US GORNJA SANICA,Zidani,FTTE,MATISA,B10000TDE,"10,00",LOMBARDINI 25 LD 425/2 B1,SINCRO ET 2L BS,,,NE,,MOBILNI,10.0,MT2153,2005,55.0,12,,,,,,,16.78370509,44.53976578,GSM/UMTS/LTE,1,67,80,FUZZY_MEDIUM
100048,BIHAĆ,KLJUČ,US KLJUČ,Zidani,FTTE,MATISA,JDM1-80AD,"80,00",JOHN DEERE 4045,MARELLI MJB 225 SA4,DA,RGK60,DA,,STACIONARNI,1000.0,4095,2008,110.0,12,,,,,,,16.78370509,44.53976578,GSM/UMTS/LTE,1,67,80,FUZZY_MEDIUM
