LOKACIJA,NE_NAME,LONGITUDE_DECIMAL,LATITUDE_DECIMAL,TEHNOLOGIJA,STATUS,BASESTATIONRAT,NECONNECTIONSTATUS,X,Y,SITE_ID,GSM_ID,UMTS_ID,LTE_ID
Bosanski Samac ADA,ADA,18.45906389,45.04246,GSM/LTE,1,GL(F),Online,6536161.0,4988761.0,963,1001,0,1001
Adventure Resort Konjic,ADVENTURE_RESORT_KONJIC,18.06770444,43.53880611,GSM/LTE,1,GL(F),Online,6505471.0,4821613.0,1749,1461,0,1461
Aerodrom,AERODROM_GP,18.34472278,43.82569583,GSM/UMTS/LTE,1,GUL(F),Online,6527723.6,4853537.0,76,30,30,30
AERODROM SARAJEVO,AERODROM_SARAJEVO,18.34167139,43.82613694,/LTE,1,L(F),Online,6527478.0,4853585.0,1988,0,0,1712
Ahatovici,AHATOVICI_MIKRO,18.28383583,43.88836417,GSM/UMTS/LTE,1,GUL(F),Online,6522803.0,4860480.0,783,839,839,839
AJVATOVICA,AJVATOVICA,17.35610444,44.06918944,GSM/LTE,1,GL(F),Online,6448427.0,4880730.0,855,912,0,912
Alagici,ALAGICI,18.05321833,43.89522167,GSM/UMTS/LTE,1,GUL(F),Online,6504275.0,4861204.0,767,913,913,913
Alaginci,ALAGINCI,16.5825525,45.18260972,GSM/LTE,1,GL(F),Online,6388619.0,5005208.0,1097,603,0,603
Aleksandrovac,ALEKSANDROVAC,17.32856861,44.97778639,GSM/UMTS/LTE,1,GUL(F),Online,6447051.0,4981692.0,1054,1117,1117,1117
Alibegovci,ALIBEGOVCI,18.01886472,44.69348556,GSM/UMTSL(FM),1,GUL(FM),Online,6501495.0,4949885.6,184,363,363,363
Alifakovac,ALIFAKOVAC,18.43867111,43.85830306,GSM/LTE,1,GL(F),Online,6535260.0,4857195.0,1869,1585,0,1585
Alipasino Polje,ALIPASINO,18.34784528,43.846045,GSM/UMTSL(FM),1,GUL(FM),Online,6527965.2287,4855798.5638,4,31,31,31
Alta Mercator Micro,ALTA_MERCATOR,18.41085278,43.85646222,GSM/LTE,1,GL(F),Online,6533025.0,4856979.0,901,840,0,840
Amidzici,AMIDZICI,17.13277,44.58963056,GSM/UMTS/LTE,1,GUL(F),Online,6431150.5002,4938712.7998,552,914,914,914
Arapusa,ARAPUSA,16.27378417,44.88272139,GSM/LTE,1,GL(F),Online,6363646.0,4972360.0,794,604,0,604
ARGUD,ARGUD,18.2983625,43.52821889,GSM/LTE,1,GL(F),Online,6524114.0,4820478.0,1890,1606,0,1606
Arizona pijaca,ARIZONA_PIJACA,18.56666167,44.82937111,GSM/UMTS/LTE,1,GUL(F),Online,6544802.0,4965139.0,1031,310,310,310
ASA Bolnica,ASA_BOLNICA,18.36864139,43.85036778,GSM/LTE,1,GL(F),Online,6529635.0,4856286.0,1769,1488,0,1488
Avaz Twist Tower,AVAZ_TWIST_TOWER,18.40718806,43.86088611,GSM/UMTS/LTE,1,GUL(F),Online,6532728.0,4857469.0,797,242,242,242
Azapovici,AZAPOVICI,18.16947861,43.88264056,GSM/UMTS/LTE,1,GUL(F),Online,6513617.0,4859819.0,880,499,499,499
Azapsko brdo,AZAPSKO_BRDO,17.11652167,45.16983611,GSM/UMTS/LTE,1,GUL(F),Online,6430562.0,5003191.0001,405,605,605,605
Azici,AZICI,18.31560639,43.84921222,GSM/UMTS/LTE,1,GUL(F),Online,6525372.0,4856140.0,807,32,32,32
Babanovac,BABANOVAC,17.58480278,44.31034639,GSM/UMTS/LTE,1,GUL(F),Online,6466880.0,4907403.0,1246,106,106,106
Babanovac Brdo,BABANOVAC_BRDO,17.54563194,44.32064861,GSM/UMTS/LTE,1,GUL(F),Online,6463761.7,4908564.1,352,288,288,288
Babanovac Centar,BABANOVAC_CENTAR,17.57849389,44.31254639,GSM/LTE,1,GL(F),Online,6466378.0,4907650.0,1786,1499,0,1499
Babanova FIS,BABANOVAC_FIS_MIKRO,17.58770861,44.31429028,GSM/LTE,1,GL(F),Online,6467114.0,4907840.0,962,915,0,915
Babici Micro,BABICI_MIKRO,18.306175,44.73640944,GSM/LTE,1,GL(F),Online,6524246.0,4954700.0,984,1002,0,1002
Babin Do,BABIN_DO,18.28953694,43.71599556,GSM/LTE,1,GL(F),Online,6523328.0,4841334.0,1422,1091,0,1091
Babin Grad,BABIN_GRAD,16.5895975,44.12058278,GSM/LTE,1,GL(F),Online,6387130.9,4887205.0,542,916,0,916
BABIN POTOK,BABIN_POTOK,17.34881194,44.20464861,GSM/LTE,1,GL(F),Online,6447962.0,4895783.0,1993,1718,0,1718
