LONGITUDE_DECIMAL,LATITUDE_DECIMAL,OBJECTID,ID,MJESTO,LOKACIJA,ID_NADR,RANG,TIP_KOMUTA,IME,SMB,TIPSMB,LISTA,URL,N2,DIREKCIJA,OPCINA,ID_OPCINA,IME_OPCINA,MJESEC_PUS,GOD_PUSTANJA,ID_ERC,VERZIJA,TIP_PROCES,TEHNICKI_P,KLASA_TACNOSTI,NAPOMENA,SAP_TPLNR,POINT_X,POINT_Y,LONGITUDE,LATITUDE,GIS_ID,NAZIV_CENTRALE,FUNKCIJSKA_LOKACIJA,SAP_BIHNET,NAZIV_RAZDJELNIKA,NAZIV_LOKACIJE,NAZIV_UREDJAJA,NAZIV_CVORA,FIZ_NAZIV_UREDJAJA_EM,RUTER,NAZIV_RUTERA,IP_ADRESA,OPIS,POTS,ISDNBA,ISDNPRA,INST_USKP,V52,POTSUK,WLLUK,CLLUK,ISDNBAUK,ISDNPRAUK,ISKOR_USKP,XDSL,ADSL_POTS,ADSL_ISDN,ADSL2PLUS_POTS,ADS2PLUS_ISDN,ADSL2_POTS,ADSL2_ISDN,SHDSL,VSDL2,GPON_VIRTPORT,GPON_SPLITT,FTTH,INSTALIRANO_UKUPNO,ADSL,IPTV,VOIP,VOIP_GEOGRAFSKI,IPCENT,ADSL_PORT,SHDSL_PORT,FTTHPTP_PORT,GPONSPLITT_PORT,VDSL2_PORT,UKLJUCENO_UKUPNO,SE_ANNO_CAD_DATA
,,95189.0,7508,Mali Radia 2,,,,DSLAM,"7508-, DSLAM",14,,"Mali Radia 2-7508, DSLAM",,1,Bihaa,b2,10090,Bosanska Krupa,9,2025,,,,,0, ,037MRN,,,,,7508,,BI-PRI-RADI-D7508,037MRN,FTTB,BOSANSKA KRUPA,,,MALI_RADIC_2,MRN,MALI RADIC2,10 11 12 195,REM 7356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,7.0,2.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,7.0,
,,93909.0,9102,Banovac_10,BANO,,,DSLAM,"9102-BANO, DSLAM",14,,"Banovac_10-9102, DSLAM",,1,Sarajevo,,10863,Ilijaš,8,2024,416,,,,0, ,033416,,,,,9102,,SA-PRI-ILIJ-D9102,033416,FTTB,ILIJAŠ,,,Banovac_10,416,BANOVAC_10,10 11 1 19,NOKIA ISAM 7363 MX,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,32.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,
,,94869.0,6350,Brankovac_1 ISAM 7330,,,,DSLAM,"6350-, DSLAM",14,,"Brankovac_1 ISAM 7330-6350, DSLAM",,1,Mostar,m3,11380,Grad Mostar,11,2024,,,,,0, ,036347,,,,,6350,,MO-PRI-BRAN-D6350,036347,FTTC,BRANKOVAC,,,BRANKOVAC_1,347,BRANKOVAC_1,10 11 20 125,BRANKOVAC_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.0,0.0,0.0,0.0,96.0,37.0,28.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,39.0,39.0,
,,94874.0,2661,ALMY_BC,ALMI,,LOK,DSLAM,"2661-ALMI, DSLAM",14,,"ALMY_BC-2661, DSLAM",,1,Zenica,z11,11185,Zenica,2,2025,,,,,0, ,032332,,,,,2661,,ZE-PRI-ALMI-D2661,032332,FTTB,ZENICA,,,ALMY_BC,332,ALMY_BC,10 11 8 86,ALCATEL ISAM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,0.0,0.0,0.0,48.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,
,,95193.0,8170,Prnjavor,PRNJ,,KC,DSLAM,"8170-PRNJ, DSLAM",14,,"Prnjavor-8170, DSLAM",,1,Tuzla,t7,10456,Kalesija,11,2025,1088,,,,0, ,0351088,,,,,8170,,TU-PRI-PRNJ-D8170,0351088,FTTC,KALESIJA,,,PRNJAVOR_KALESIJA,1088,NOKIA PRNJAVOR KALES,10 11 5 127,7330 ISAM FTTN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,144.0,0.0,0.0,0.0,144.0,62.0,55.0,0.0,47.0,0.0,0.0,0.0,0.0,0.0,70.0,70.0,
,,95194.0,8171,Brezici,BREZ,,KC,DSLAM,"8171-BREZ, DSLAM",14,,"Brezici-8171, DSLAM",,1,Tuzla,t1,10014,Banoviai,11,2025,1092,,,,0, ,0351092,,,,,8171,,TU-PRI-BREZ-D8171,0351092,FTTC,BANOVIĆI,,,BREZICI_BANOVICI,1092,BREZICI BANOVICI,10 11 5 128,FTTC NOKIA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,288.0,0.0,0.0,0.0,288.0,225.0,183.0,0.0,123.0,0.0,0.0,0.0,0.0,0.0,259.0,259.0,
,,95195.0,8172,Korzo 5,KORZ,,KC,MSAN,"8172-KORZ, MSAN",13,,"Korzo 5-8172, MSAN",,1,Tuzla,t13,11088,Tuzla,11,2025,262,,,,0, ,035262,,,,,8172,,TU-PRI-KORZ-M8172,035262,FTTC,TUZLA,,,Korzo,262,KORZO,10 11 212 16,SIEMENS HIX 5635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,144.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
,,95196.0,8173,SPO Živinice,ZIVI,,KC,DSLAM,"8173-ZIVI, DSLAM",14,,"SPO Živinice-8173, DSLAM",,1,Tuzla,t14,11215,Živinice,11,2025,1054,,,,0, ,0351054,,,,,8173,,TU-PRI-ZIVI-D8173,0351054,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,0.0,0.0,0.0,64.0,,,,,,,,,,,,
17.97711306,44.152655,28196.0,2344,GORICA,GORI,,LOK,MSAN,"2344-GORI, MSAN",13,,"GORICA-2344, MSAN",,1,Zenica,z11,11185,Zenica,5,2013,,,,,1, ,032248,6498169.4532,4889800.9688,"E17° 58' 37,607""","N44° 9' 9,558""",2344,MSAN GORICA,ZE-PRI-GORI-M2344,032248,FTTC,ZENICA,,,Gorica_1,248,GORICA,10 11 213 31,MSAN NSN SIEMENS,72.0,0.0,0.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,240.0,0.0,0.0,0.0,240.0,150.0,148.0,0.0,79.0,0.0,0.0,0.0,0.0,0.0,163.0,163.0,
17.92649694,44.28899361,28197.0,2345,KOPRIVNA,KOPR,,LOK,MSAN,"2345-KOPR, MSAN",13,,"KOPRIVNA-2345, MSAN",,1,Zenica,z11,11185,Zenica,5,2013,,,,,1, ,03200104,6494134.5782,4904949.6251,"E17° 55' 35,389""","N44° 17' 20,377""",2345,MSAN KOPRIVNA,ZE-PRI-KOPR-M2345,032249,FTTC,ZENICA,,,Koprivna,249,KOPRIVNA,10 11 213 34,MSAN NSN SIEMENS,216.0,0.0,0.0,216.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,216.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,216.0,0.0,0.0,0.0,216.0,157.0,148.0,0.0,93.0,0.0,0.0,0.0,0.0,0.0,176.0,176.0,
18.58147028,44.10730778,28838.0,2352,DOLOVI,DOLO,,LOK,MSAN,"2352-DOLO, MSAN",13,,"DOLOVI-2352, MSAN",,1,Zenica,Z5,10751,Olovo,8,2013,,,,,1, ,032132,6546543.114,4884927.4,"E18° 34' 53,293""","N44° 6' 26,308""",2352,,ZE-PRI-DOLO-M2352,032132,FTTC,OLOVO,,,Dolovi,132,DOLOVI,10 11 213 37,SIEMENS HIX5635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.0,0.0,0.0,0.0,96.0,42.0,48.0,0.0,36.0,0.0,0.0,0.0,0.0,0.0,52.0,52.0,
17.918135,44.21096639,37505.0,2408,KRANJCEVICEVA 8A,BLTS,,LOK,DSLAM,"2408-BLTS, DSLAM",14,,"KRANJCEVICEVA 8A-2408, DSLAM",,1,Zenica,Z11,11185,Zenica,6,2015,,,,,1, ,032304,6493458.67,4896281.9146,"E17° 55' 5,286""","N44° 12' 39,479""",2408,,ZE-PRI-BLTS-D2408,032304,FTTB,ZENICA,,,Kranjceviceva_8A,304,KRANJČEVIĆEVA 8A,10 11 8 48,ALCATEL 7356 ISAM FTTB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,0.0,0.0,0.0,48.0,32.0,33.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,36.0,36.0,
17.99090778,44.61304972,51623.0,2500,Tesanj FTTH2,TSNJ,,LOK,DSLAM,"2500-TSNJ, DSLAM",14,,"Tesanj FTTH2-2500, DSLAM",,1,Zenica,z6,11045,Tešanj,1,2018,,,,,1, ,,6499278.4523,4940948.9193,"E17° 59' 27,268""","N44° 36' 46,979""",2500,,ZE-PRI-TSNJ-D2500,032393,FTTH,TEŠANJ,,,TESANJ_FTTH2,393,TEŠANJ FTTH 2,10 11 8 117,ALCATEL ISAM FX 7360,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,128.0,0.0,288.0,416.0,213.0,116.0,0.0,102.0,11.0,0.0,0.0,249.0,2.0,0.0,251.0,
18.18364,43.99675556,57390.0,2525,Luke IV br. B2 L3,VISO,,LOK,DSLAM,"2525-VISO, DSLAM",14,,"Luke IV br. B2 L3-2525, DSLAM",,1,Zenica,z9,11126,Visoko,10,2018,,,,,1, ,,6514726.6168,4872498.1888,"E18° 11' 1,104""","N43° 59' 48,320""",2525,,ZE-PRI-VISO-D2525,032419,FTTB,VISOKO,,,Luke_IV_br_B2_L3,419,LUKE IV BR. B2 L3,10 11 8 163,ALCATEL 7356 ISAM FTTB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,0.0,0.0,0.0,48.0,21.0,18.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,23.0,23.0,
17.85171056,44.2305875,22109.0,2277,Stranjani,STRN,,LOK,DSLAM,"2277-STRN, DSLAM",14,,"Stranjani-2277, DSLAM",,1,Zenica,Z11,11185,Zenica,11,2011,,,,,2, ,032184,6488155.039,4898469.137,"E17° 51' 6,158""","N44° 13' 50,115""",2277,,ZE-PRI-STRN-D2277,032184,FTTE/CO,ZENICA,,,STRANJANI_2,184,STRANJANI_2,10 11 8 19,ALCATEL ISAM 7330,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,240.0,0.0,0.0,0.0,0.0,48.0,0.0,0.0,0.0,288.0,142.0,136.0,0.0,81.0,0.0,116.0,0.0,0.0,0.0,42.0,158.0,
17.93885139,44.40551722,22110.0,2278,zeljezno Polje,ZELP,,LOK,DSLAM,"2278-ZELP, DSLAM",14,,"zeljezno Polje-2278, DSLAM",,1,Zenica,Z12,11207,Žepee,11,2011,,,,,2, ,032185,6495130.1,4917894.1,"E17° 56' 19,865""","N44° 24' 19,862""",2278,,ZE-PRI-ZELP-D2278,032185,FTTE/CO,ZENICA,,,ZELJEZNO_POLJE_2,185,Ž. POLJE_2,10 11 8 20,ALCATEL ISAM 7330,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,336.0,0.0,0.0,0.0,0.0,96.0,0.0,0.0,0.0,432.0,326.0,326.0,0.0,198.0,0.0,283.0,0.0,0.0,0.0,88.0,371.0,
17.99910917,44.34706,45872.0,2487,Begov Han,BEGH,,LOK,DSLAM,"2487-BEGH, DSLAM",14,,"Begov Han-2487, DSLAM",,1,Zenica,Z12,11207,Žepee,5,2017,,,,,2, ,032344,6499928.9937,4911397.8996,"E17° 59' 56,793""","N44° 20' 49,416""",2487,MSAN BEGOV HAN,ZE-PRI-BEGH-M2487,032344,FTTE/CO,ZEPCE,,,BegovHan,344,BEGOV HAN,10 11 213 75,MSAN NSN SIEMENS,72.0,0.0,0.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,0.0,0.0,0.0,720.0,586.0,519.0,0.0,291.0,0.0,0.0,0.0,0.0,0.0,666.0,666.0,
17.99129444,44.61304028,21453.0,2248,Tesanj,TSNJ,,LOK,DSLAM,"2248-TSNJ, DSLAM",14,,"Tesanj-2248, DSLAM",,1,Zenica,z6,11045,Tešanj,9,2011,,,,,1, ,032156,6499309.144,4940947.861,"E17° 59' 28,660""","N44° 36' 46,945""",2248,,ZE-PRI-TSNJ-D2248,032156,FTTE/CO,TEŠANJ,,,Tesanj-DSLAM,156,TESANJ,10 11 72 10,SIEMENS HIX5635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,360.0,0.0,0.0,0.0,360.0,269.0,143.0,0.0,75.0,1.0,0.0,0.0,0.0,0.0,285.0,285.0,
17.99129444,44.61304028,8653.0,2135,TESANJ,TSNJ,,,DSLAM,"2135-TSNJ, DSLAM",14,,"TESANJ-2135, DSLAM",,1,Zenica,z4,11045,Tešanj,,2008,,,,,1, ,03284,6499309.144,4940947.861,"E17° 59' 28,660""","N44° 36' 46,945""",2135,,ZE-PRI-TSNJ-D2135,03284,FTTE/CO,TEŠANJ,,,TESANJ_1,84,TEŠANJ,10 11 8 249,7302 ISAM FD-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,720.0,0.0,0.0,0.0,744.0,500.0,266.0,0.0,98.0,14.0,0.0,0.0,0.0,0.0,542.0,542.0,
18.01819806,44.67254,70534.0,2547,Tesanjka FTTH,TSKA,,LOK,DSLAM,"2547-TSKA, DSLAM",14,,"Tesanjka FTTH-2547, DSLAM",,1,Zenica,z6,11045,Tešanj,6,2020,,,,,2, ,032343,6501442.7,4947558.5,"E18° 1' 5,513""","N44° 40' 21,144""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18.10296028,44.54690972,23053.0,2282,MAGLAJ,MAGL,,LOK,DSLAM,"2282-MAGL, DSLAM",14,,"MAGLAJ-2282, DSLAM",,1,Zenica,z4,10634,Maglaj,1,2012,,,,,1, ,032100,6508180.0,4933605.879,"E18° 6' 10,657""","N44° 32' 48,875""",2282,,ZE-PRI-MAGL-D2282,032100,FTTE/CO,MAGLAJ,,,,100,MAGLAJ_2,195 222 3 7,ISKRATEL MSAN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,384.0,0.0,0.0,0.0,0.0,288.0,0.0,0.0,0.0,672.0,340.0,240.0,0.0,122.0,5.0,159.0,0.0,0.0,0.0,210.0,369.0,
