site_id;region_id;node_id
DERVENTA_NOVO_NASELJE;ZENICA;SMU02C_X
KONJIC_CENTAR;MOSTAR;SMU02C_X
CRNO_BRDO;MOSTAR;SMU02C_X
CAVKUNOVIC;BIHAC;SMU02B
KTK;SARAJEVO;SMU02B
GORNJA_ZENICA;ZENICA;SMU02C_X
BRIJESCE_BRDO;SARAJEVO;SMU02C_X
OLOVO_CUNISTA;ZENICA;SMU02C_X
MEDJUGORJE_CENTAR;MOSTAR;SMU02C_X
MITROVICI;ZENICA;SMU02C_X
BROD_VINSKA;ZENICA;SMU02C_X
DELTA_PLANET_BANJA_LUKA;ZENICA;SMU02C_X
BRCKO_POLICIJA;TUZLA;-
UGLJEVIK_ATMACICI;TUZLA;SMU02C_X
SEPAK_GP;TUZLA;SMU02C_X
SREBRENIK_ALIBEGOVINA;TUZLA;SMU02C_X
TIBRA_STUP;SARAJEVO;SMU02B
PANJINA_KULA;SARAJEVO;SMU02C_X
PRITOKA;BIHAC;SMU02C_X
VISOKO_GRACANICA;ZENICA;SMU02C_X
GRBAVICA_STADION_JUG;SARAJEVO;SMU02B
KOPACI;GORAZDE;SMU02B
LOVNICA_MIKRO;ZENICA;SMU02B
VITEZ_CENTAR;TRAVNIK;SMU02B
VITEZIT_VECERISKA;TRAVNIK;SMU02C_X
KALESIJA_SARACI;TUZLA;SMU02C_X
BILINO_POLJE;ZENICA;SMU02C_X
OTOKA_DZAMIJA;SARAJEVO;SMU02B
PRESJENICA_RSU;SARAJEVO;SMU02B
SANSKI_MOST_FAJTOVCI;BIHAC;SMU02C_X
BOGOSICI;ZENICA;SMU02C_X
TEHNOINSPEKT;SARAJEVO;SMU02B
BABIN_DO;SARAJEVO;SMU02C_X
TESLIC_STENJAK;ZENICA;SMU02C_X
KLADANJ_DRINJACA;TUZLA;SMU02C_X
JELAH_ROSULJE;ZENICA;SMU02C_X
MEJTAS;SARAJEVO;SMU02B
CELINAC_BRANESCI;ZENICA;SMU02C_X
ROBOT_VELIKA_KLADUSA;BIHAC;SMU02C_X
DONJI_GRADAC;MOSTAR;SMU02C_X
ZELJEZNO_POLJE_MIKRO;ZENICA;SMU02B
TRNOVO_KOBILJACE;SARAJEVO;SMU02C_X
BARE_DZAMIJA_GORAZDE;GORAZDE;SMU02B
PTI05_KASAPOVICI;TRAVNIK;SMU02B
RABAR;GORAZDE;SMU02B
PARK_RESIDENCE;SARAJEVO;-
GNOJNICE;MOSTAR;SMU02C_X
PTI23_SREBRENIK_BINGO;TUZLA;SMU02B
JAJCE_CENTAR;TRAVNIK;SMU02C_X
DUBLJE_DZAMIJA;TUZLA;SMU02B
CITLUK_BINGO;MOSTAR;DPS
NAHOREVO;SARAJEVO;SMU02B
RAT_DELIJAS;SARAJEVO;-
PTI19_AS_JELAH;ZENICA;SMU02B
ORAHOVICA;TUZLA;SMU02C_X
RADNICKA;SARAJEVO;SMU02B
OPCA_BOLNICA;SARAJEVO;SMU02B
CENGIC_VILA;SARAJEVO;SMU02C_X
DOM_SINDIKATA;SARAJEVO;SMU02C_X
JASENIK_MIKRO;MOSTAR;SMU02B
SODASO_TEMP;TUZLA;SMU02C_X
DONJI_VELESICI;SARAJEVO;SMU02C_X
VISOKO_DZINDICI;ZENICA;SMU02C_X
KAKANJ_RICICA;ZENICA;SMU02C_X
TUZLA_KISELJAK;TUZLA;SMU02C_X
KLOPACKE_STIJENE;ZENICA;SMU02C_X
STURLICKA_PLATNICA;BIHAC;SMU02C_X
KONJIC_ZIVASNICA;MOSTAR;SMU02C_X
ILIDZA_OSIJEK;SARAJEVO;SMU02C_X
MTUC04_BRUS;SARAJEVO;SMU02B
TUZLA_POZARNICA;TUZLA;SMU02C_X
MAGLAJ_RAKOVAC;ZENICA;SMU02C_X
ZELECA;ZENICA;SMU02B
MAJEVICA;TUZLA;SMU02B
HERE;MOSTAR;SMU02C_X
KONJIC_STUDENCICA;MOSTAR;SMU02C_X
VRNOGRACKA_GLAVICA;BIHAC;SMU02B
BANJA_VRUCICA;ZENICA;SMU02C_X
GLAMOC_KOVACEVCI;TRAVNIK;SMU02C_X
BILJEG;TUZLA;SMU02B
RJECICA;SARAJEVO;SMU02C_X
STAKLENA_BANKA;MOSTAR;SMU02B
GRADISKA_VODOVOD;ZENICA;SMU02C_X
GRDJEVAC;ZENICA;SMU02C_X
RIPAC_CENTAR;BIHAC;SMU02C_X
UGLJEVIK_NIJEMAC;TUZLA;SMU02C_X
BIJELJINA_GALAC;TUZLA;SMU02C_X
ORASJE_KOPANICE;TUZLA;SMU02C_X
JANJA_DZAMIJA;TUZLA;SMU02B
KRUPAC;SARAJEVO;SMU02B
CEKALUSA;SARAJEVO;SMU02B
TUNEL_SALAKOVAC;MOSTAR;SMU02B
TRNOPOLJE;BIHAC;SMU02B
PODHRASTOVI;SARAJEVO;SMU02B
PTI36_VRAPCICI_GAJ;MOSTAR;SMU02B
BUKVA;ZENICA;SMU02C_X
FOCA_GP_HUM;GORAZDE;SMU02C_X
KNESPOLJE;MOSTAR;SMU02C_X
TAHIREVICI_MIKRO;BIHAC;SMU02B
BANJALUKA_SIMICI;BIHAC;SMU02C_X
JABLANICA_CENTAR;MOSTAR;SMU02C_X
STARI_ILIJAS;SARAJEVO;SMU02C_X
POSUSJE_TRIBISTOVO;MOSTAR;SMU02C_X
HOTEL_KONCEPT_RESIDENCE;SARAJEVO;-
FOCA_JOSANICA;GORAZDE;SMU02C_X
PTI18_VAROSKA_RIJEKA;BIHAC;SMU02B
COBANIJA;SARAJEVO;SMU02C_X
KLENOVAC;BIHAC;SMU02B
POSUSJE_VITRINJACA;MOSTAR;SMU02C_X
SANSKI_MOST_TOMINA;BIHAC;SMU02C_X
LAKTASI_BUKOVICA;ZENICA;SMU02B
PRIJEDOR_OMARSKA;BIHAC;SMU02C_X
CRNICKI_KAMENIK;TRAVNIK;SMU02C_X
PRNJAVOR_SILOS;ZENICA;SMU02C_X
REBROVAC;ZENICA;SMU02C_X
VOLJICE;TRAVNIK;SMU02B
ROVNA;TRAVNIK;SMU02C_X
BABUNOVICI;TUZLA;SMU02B
PEJTON;SARAJEVO;SMU02B
TRAVNIK_GOSTILJ;TRAVNIK;SMU02B
TREBEVIC_VIDIKOVAC;SARAJEVO;SMU02B
PODRASNICA;TRAVNIK;SMU02B
VOGOSCA_PETLJA;SARAJEVO;SMU02C_X
TRAFOSTANICA_HRASNO;SARAJEVO;-
VRBA;MOSTAR;SMU02B
MBS3_TUZLA_SLAVINOVICI;TUZLA;SMU02C_X
VISOKO_SUSA_CENTAR;ZENICA;SMU02C_X
MAHMUTOVAC;SARAJEVO;SMU02C_X
DOBRINJA_V;SARAJEVO;SMU02B
KULJANI;ZENICA;SMU02B
SANICA_CENTAR;BIHAC;SMU02C_X
SREBRENIK_SLADNA;TUZLA;SMU02C_X
KALIBUNAR;TRAVNIK;SMU02B
AJVATOVICA;TRAVNIK;SMU02B
TURSKI_LUKAVAC;TUZLA;SMU02C_X
VISOKO_CENTAR;ZENICA;SMU02C_X
STRNCA;TUZLA;SMU02C_X
ZEPCE_KNEZEVICI;ZENICA;SMU02B
STIPICI_MIKRO;TRAVNIK;SMU02B
ZIMCA;ZENICA;SMU02B
HRASNICKI_STAN;SARAJEVO;SMU02C_X
